GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
sis,com.sis.Main,main,57,0,0,0,15,0,2,0,2,0
sis,com.sis.Model.Enum,Aseguradora,33,0,0,0,2,0,1,0,1,0
sis,com.sis.Model.Enum,CargoDoc,33,0,0,0,2,0,1,0,1,0
sis,com.sis.Model.Enum,NivelTriage,33,0,0,0,6,0,1,0,1,0
sis,com.sis.Model.Enum,EstadoTicket,33,0,0,0,2,0,1,0,1,0
sis,com.sis.Model.Enum,NivelEnfermera,21,0,0,0,4,0,1,0,1,0
sis,com.sis.Model.Enum,TipoEvento,0,99,0,0,0,17,0,1,0,1
sis,com.sis.Model.Enum,TipoDoc,0,33,0,0,0,6,0,1,0,1
sis,com.sis.Model.Enum,TipoUsuario,6,39,0,0,2,8,2,2,2,2
sis,com.sis.Service,EventBus,0,49,0,4,0,15,0,6,0,4
sis,com.sis.Service,VistaPaciente,0,52,0,4,0,12,0,5,0,2
sis,com.sis.Service,UsuarioRegistroService,0,124,0,12,0,27,0,11,0,5
sis,com.sis.Service,VistaDoctor,0,52,0,4,0,12,0,5,0,2
sis,com.sis.Service,CustomUserDetailsService,2,58,1,3,0,15,1,4,0,3
sis,com.sis.Service,VistaEnfermera,0,43,0,3,0,10,0,4,0,2
sis,com.sis.Service,SmsService,0,92,0,2,0,21,0,4,0,3
sis,com.sis.Service,UserService,21,13,0,0,5,4,3,3,3,3
sis,com.sis.Model,DiagnosticoMedicamento,66,0,2,0,29,0,19,0,18,0
sis,com.sis.Model,Doctor,10,0,0,0,5,0,3,0,3,0
sis,com.sis.Model,Usuario,7,103,0,2,3,43,2,28,2,27
sis,com.sis.Model,Tratamiento,38,0,2,0,17,0,11,0,10,0
sis,com.sis.Model,Enfermera,10,0,0,0,5,0,3,0,3,0
sis,com.sis.Model,Triage,132,0,18,0,45,0,32,0,23,0
sis,com.sis.Model,TicketAdmision,55,0,2,0,24,0,15,0,14,0
sis,com.sis.Model,Admin,3,0,0,0,2,0,1,0,1,0
sis,com.sis.Model,Medicamento,39,0,0,0,15,0,10,0,10,0
sis,com.sis.Model,Consulta,59,0,2,0,26,0,17,0,16,0
sis,com.sis.Model,Diagnostico,38,0,2,0,17,0,11,0,10,0
sis,com.sis.Model,Paciente,52,0,2,0,20,0,13,0,12,0
sis,com.sis.Controller,LoginController,0,21,0,4,0,7,0,5,0,3
sis,com.sis.Controller,PacienteController,5,0,0,0,2,0,2,0,2,0
sis,com.sis.Controller,ConsultaController,408,0,6,0,98,0,20,0,17,0
sis,com.sis.Controller,RegistroController,41,57,1,3,10,14,2,4,1,3
sis,com.sis.Controller,DoctorController,5,0,0,0,2,0,2,0,2,0
sis,com.sis.Controller,EnfermeraController,5,0,0,0,2,0,2,0,2,0
sis,com.sis.Controller,PostLoginController,38,0,7,0,14,0,8,0,3,0
sis,com.sis.Controller,TriageController,313,0,2,0,76,0,13,0,12,0
sis,com.sis.Controller,DiagnosticoController,376,0,0,0,79,0,18,0,18,0
sis,com.sis.Controller,AdminController,5,0,0,0,2,0,2,0,2,0
sis,com.sis.Controller,AdmisionController,458,0,12,0,109,0,23,0,17,0
sis,com.sis.Config,RestTemplateConfig,0,7,0,0,0,2,0,2,0,2
sis,com.sis.Config,SecurityConfig,163,0,0,0,31,0,10,0,10,0
sis,com.sis.DTO,UsuarioRegistroDTO,0,73,0,0,0,32,0,21,0,21
sis,com.sis.Patterns.Prototype,PacientePrototype,87,0,0,0,22,0,4,0,4,0
sis,com.sis.Patterns.Builder,PacienteBuilder,148,0,8,0,43,0,20,0,16,0
sis,com.sis.Patterns.Strategy,ExportadorPDF,213,0,6,0,37,0,8,0,5,0
sis,com.sis.Patterns.Strategy,ExportadorHTML,290,0,6,0,55,0,8,0,5,0
sis,com.sis.Patterns.Mediator,RegistroMedicoMediator,93,0,0,0,26,0,4,0,4,0
